n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,run_mean_s,participant_group
8,20000.0,1.0,,Robot3,3,prover,total_lifecycle,4.983665879,4.501179469833333,Robot
8,20000.0,1.0,,Robot3,3,verifier,reaction_time,0.030763463000000005,0.02847504842857143,Robot
8,20000.0,1.0,,Robot3,3,verifier,result_call,0.0074099579999999995,0.0075519742142857145,Robot
8,20000.0,1.0,,Robot3,3,verifier,signatures_fetch,0.001909738,0.0020767122142857143,Robot
8,20000.0,1.0,,Robot3,3,verifier,total_lifecycle,0.0092047405,0.009655707285714285,Robot
8,20000.0,1.0,,Robot3,3,verifier,verify_compute,2.195e-06,2.1946428571428572e-06,Robot
8,20000.0,1.0,,Robot3,4,prover,e2e_blockchain,4.816047094,4.146695215833334,Robot
8,20000.0,1.0,,Robot3,4,prover,evidence_call,0.009402631500000001,0.009953901166666668,Robot
8,20000.0,1.0,,Robot3,4,prover,total_lifecycle,4.832093281000001,4.162992467666666,Robot
8,20000.0,1.0,,Robot3,4,verifier,reaction_time,0.024409781999999998,0.023503873357142855,Robot
8,20000.0,1.0,,Robot3,4,verifier,result_call,0.0062085705,0.006702396142857143,Robot
8,20000.0,1.0,,Robot3,4,verifier,signatures_fetch,0.0017361375,0.0019004370714285714,Robot
8,20000.0,1.0,,Robot3,4,verifier,total_lifecycle,0.007966687,0.008629202571428572,Robot
